EMPIRICAL SAMPLE COUNT n VARIATION
==================================

n = 1
-----
Step	NTK metric	Parameter perturbation L2 norm
1	0.024977323423294628	0.024966364886618912
2	0.024175546755271463	0.024108687794286099
3	0.02234272763824911	0.022243071757670253
4	0.02190964289274927	0.021768500163049074
5	0.021418569515831112	0.021251069154508712
6	0.019129029826633961	0.01896042064587351
7	0.017881349027272397	0.017709734574680072
8	0.016869721543941396	0.016698655768173878
9	0.015287267040012445	0.015129639486402353
10	0.013957048213376816	0.013810011407650407
11	0.012688745572275048	0.01255555979176233
12	0.010862407343354932	0.010752855446331139
13	0.010271951373024994	0.01016914149382759
14	0.0090883341270848184	0.0090031162051124412
15	0.0072928061849403467	0.0072291278086270856
16	0.0066663716771822451	0.006610293831401404
17	0.005806713590789405	0.0057608696998932901
18	0.0048611353924932973	0.0048262819180297668
19	0.004539884701815074	0.004508243909503086
20	0.0035211957354185329	0.0034995294374412238
21	0.0031483129949615675	0.0031301819778630636
22	0.0026723704969552724	0.0026579394692330762
23	0.0022129471734707354	0.0022021298880400561
24	0.0020541725761605827	0.0020447482578739035
25	0.001750671491518165	0.0017431389341968178
26	0.0013233539388248217	0.0013184317491711061
27	0.0011953354952570418	0.0011911135425032963
28	0.0010138453417297168	0.0010106302984494841
29	0.00086590663836601288	0.00086327567902391516
30	0.00070090360350941378	0.00069901919089844868
31	0.00054319052158049053	0.00054191119861456279
32	0.00045883012870837693	0.00045786092826854714
33	0.00040874060913545333	0.00040791157715714375
34	0.00031845216356218083	0.00031788558786148471
35	0.00032709159907934446	0.00032650573202912215
36	0.00029016564122914085	0.00028968572141580131
37	0.00027307871675952625	0.00027263473247980902
38	0.00017120474759493631	0.00017099277783933262
39	0.00017922538287694874	0.00017901887884918264
40	0.00013237525148760925	0.00013222725281771412
41	0.00014273501830376769	0.00014256942067282204
42	0.00015438533035561501	0.00015421917935275941
43	4.7122157175777548e-05	4.7090567352115285e-05
44	6.7989911228843699e-05	6.795057833776464e-05
45	8.6944895486774183e-05	8.688086585929375e-05
46	5.0354210975584319e-05	5.0319375609205099e-05
47	4.65734396785442e-05	4.6543766738794524e-05
48	3.1053477502575866e-05	3.103789159322531e-05
49	4.2586231622758098e-05	4.256038847553892e-05
